FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID
1/4/2021 12:00:00 AM,11292,1129202,30325,10558,1055803,30558
1/4/2021 12:00:00 AM,11292,1129202,30325,11468,1146802,31468
1/4/2021 12:00:00 AM,11292,1129202,30325,12899,1289902,32899
1/4/2021 12:00:00 AM,11292,1129202,30325,12899,1289902,32899
1/4/2021 12:00:00 AM,11292,1129202,30325,13029,1302902,33029
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11292,1129202,30325,13871,1387102,33316
1/4/2021 12:00:00 AM,11298,1129806,30194,11980,1198002,31980
1/4/2021 12:00:00 AM,11298,1129806,30194,11980,1198002,31980
1/4/2021 12:00:00 AM,11298,1129806,30194,13871,1387102,33316
1/4/2021 12:00:00 AM,11298,1129806,30194,13871,1387102,33316
1/4/2021 12:00:00 AM,11298,1129806,30194,13871,1387102,33316
1/4/2021 12:00:00 AM,11298,1129806,30194,13871,1387102,33316
1/4/2021 12:00:00 AM,11433,1143302,31295,13871,1387102,33316
