YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,2,4,4/1/2021 12:00:00 AM,AA,N662AW,2784,OMA,PHX,1552,1545,0.00,0.00,,150.00,1037.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N662AW,2784,PHX,OMA,0953,0948,0.00,0.00,,127.00,1037.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N714US,2276,PHX,OMA,1858,1847,0.00,0.00,,131.00,1037.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N715UW,2273,OMA,PHX,0631,0624,0.00,0.00,,156.00,1037.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N594AS,676,SEA,OMA,0840,0835,0.00,0.00,,155.00,1368.00,
2021,2,4,4/1/2021 12:00:00 AM,AS,N594AS,677,OMA,SEA,1445,1438,0.00,0.00,,210.00,1368.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N925AT,2517,ATL,OMA,1640,1639,0.00,0.00,,131.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N925AT,2517,OMA,ATL,1915,1913,0.00,0.00,,99.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N947AT,1755,ATL,OMA,1955,1952,0.00,0.00,,132.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,DL,N981AT,1464,OMA,ATL,0545,0543,0.00,0.00,,99.00,821.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N367FR,2058,LAS,OMA,1657,1649,0.00,0.00,,130.00,1099.00,
2021,2,4,4/1/2021 12:00:00 AM,F9,N367FR,2059,OMA,LAS,2217,2214,0.00,0.00,,148.00,1099.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,261NV,1551,PGD,OMA,1404,1409,5.00,0.00,,180.00,1269.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,261NV,1646,OMA,PGD,1713,1712,0.00,0.00,,142.00,1269.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,317NV,55,LAS,GRI,1651,1712,21.00,0.00,,117.00,971.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,317NV,56,GRI,LAS,2158,2206,8.00,0.00,,136.00,971.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,326NV,2189,OMA,SFB,0944,0943,0.00,0.00,,140.00,1195.00,
2021,2,4,4/1/2021 12:00:00 AM,G4,326NV,2266,SFB,OMA,0645,0654,9.00,0.00,,170.00,1195.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N230NN,3714,OMA,DFW,0725,0724,0.00,0.00,,88.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N240NN,4136,DFW,OMA,1445,1440,0.00,0.00,,92.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N240NN,4136,OMA,DFW,1727,1802,35.00,0.00,,87.00,583.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,MQ,N241NN,4102,OMA,DFW,1127,1131,4.00,0.00,,88.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N241NN,4330,DFW,OMA,0855,0850,0.00,0.00,,86.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N247NN,4030,OMA,DFW,0905,0857,0.00,0.00,,79.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N251NN,3937,ORD,OMA,1905,1902,0.00,0.00,,79.00,416.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N271NN,4178,DFW,OMA,1640,1634,0.00,0.00,,94.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N283NN,4172,DFW,OMA,1055,1047,0.00,0.00,,95.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N283NN,4172,OMA,DFW,1333,1333,0.00,0.00,,79.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N290NN,3553,OMA,ORD,0600,0553,0.00,0.00,,64.00,416.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N291NN,3725,DFW,OMA,2055,2053,0.00,0.00,,90.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N605KS,3652,DFW,GRI,2050,2051,1.00,0.00,,89.00,561.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N605KS,3742,DFW,GRI,1040,1037,0.00,0.00,,102.00,561.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N605KS,3742,GRI,DFW,1306,1318,12.00,0.00,,78.00,561.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N681AE,3907,GRI,DFW,0700,0653,0.00,0.00,,85.00,561.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N908AE,4382,ORD,OMA,0840,0832,0.00,0.00,,67.00,416.00,
2021,2,4,4/1/2021 12:00:00 AM,MQ,N908AE,4383,OMA,ORD,1100,1050,0.00,0.00,,69.00,416.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N551NN,5629,OMA,CLT,0625,0618,0.00,0.00,,121.00,913.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N577NN,5023,CLT,OMA,1300,1254,0.00,0.00,,147.00,913.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N577NN,5023,OMA,CLT,1526,1522,0.00,0.00,,117.00,913.00,
2021,2,4,4/1/2021 12:00:00 AM,OH,N607NN,5648,CLT,OMA,1845,1840,0.00,0.00,,144.00,913.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N107SY,4708,DEN,OMA,1600,1559,0.00,0.00,,64.00,472.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N107SY,4767,OMA,DEN,0600,0558,0.00,0.00,,72.00,472.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N247SY,3574,MSP,OMA,2135,2151,16.00,0.00,,47.00,282.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N256SY,3646,OMA,SLC,0825,0822,0.00,0.00,,133.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N259SY,3771,OMA,SLC,1410,1404,0.00,0.00,,128.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N259SY,3771,SLC,OMA,0954,0947,0.00,0.00,,106.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N261SY,3525,OMA,SLC,1820,1816,0.00,0.00,,121.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N261SY,3631,MSP,OMA,1550,1548,0.00,0.00,,46.00,282.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N305SY,3662,SLC,OMA,1357,1352,0.00,0.00,,110.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N305SY,3725,OMA,MSP,1804,1759,0.00,0.00,,58.00,282.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N306SY,3526,OMA,MSP,0750,0743,0.00,0.00,,55.00,282.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N433SW,5911,LNK,DEN,0930,0922,0.00,0.00,,68.00,423.00,0.00
2021,2,4,4/1/2021 12:00:00 AM,OO,N435SW,5150,DEN,LBF,1325,1319,0.00,0.00,,37.00,228.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N435SW,5174,LBF,DEN,1612,1604,0.00,0.00,,41.00,228.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N438SW,5061,DEN,LBF,2015,2004,0.00,0.00,,36.00,228.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N468CA,5175,LBF,DEN,0650,0641,0.00,0.00,,41.00,228.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N593ML,5053,DEN,BFF,2045,2034,0.00,0.00,,33.00,150.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N594SW,5072,ORD,EAR,0910,0902,0.00,0.00,,86.00,583.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N594SW,5091,EAR,DEN,1221,1219,0.00,0.00,,52.00,305.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N604CZ,4125,SLC,OMA,2100,2055,0.00,0.00,,107.00,840.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N826SK,3577,MSP,OMA,1040,1039,0.00,0.00,,44.00,282.00,
2021,2,4,4/1/2021 12:00:00 AM,OO,N826SK,3886,OMA,MSP,1250,1247,0.00,0.00,,53.00,282.00,
