YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,2,2/1/2021 12:00:00 AM,AA,N653AW,1288,OMA,PHX,0606,0603,0.00,0.00,,157.00,1037.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N668AW,807,PHX,OMA,2009,1959,0.00,0.00,,120.00,1037.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N703UW,2784,OMA,PHX,1559,1550,0.00,0.00,,157.00,1037.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N703UW,2784,PHX,OMA,1039,1033,0.00,0.00,,124.00,1037.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N928AT,1464,OMA,ATL,0600,0553,0.00,0.00,,110.00,821.00,
2021,1,2,2/1/2021 12:00:00 AM,DL,N991AT,1299,ATL,OMA,2110,2113,3.00,0.00,,148.00,821.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,F9,N322FR,182,DEN,OMA,1605,1556,0.00,0.00,,61.00,472.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N322FR,183,OMA,DEN,1928,1916,0.00,0.00,,77.00,472.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N323FR,2058,LAS,OMA,0859,0843,0.00,0.00,,126.00,1099.00,
2021,1,2,2/1/2021 12:00:00 AM,F9,N323FR,2059,OMA,LAS,1424,1410,0.00,0.00,,166.00,1099.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,,549,AZA,GRI,1636,,,1.00,B,,905.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,,559,GRI,AZA,2038,,,1.00,B,,905.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,295NV,1668,OMA,PGD,1102,1102,0.00,0.00,,144.00,1269.00,
2021,1,2,2/1/2021 12:00:00 AM,G4,295NV,1699,PGD,OMA,0800,0800,0.00,0.00,,185.00,1269.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N223NN,3714,OMA,DFW,0723,0714,0.00,0.00,,90.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N254NN,3913,DFW,OMA,1055,1053,0.00,0.00,,94.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N254NN,3913,OMA,DFW,1341,1339,0.00,0.00,,95.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N260NN,4178,DFW,OMA,1640,1639,0.00,0.00,,91.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N268NN,4030,OMA,DFW,0905,0900,0.00,0.00,,95.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N286NN,3725,DFW,OMA,0855,0849,0.00,0.00,,94.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N286NN,3725,OMA,DFW,1130,1131,1.00,0.00,,88.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N302RN,4136,DFW,OMA,1445,1442,0.00,0.00,,87.00,583.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N622AE,3742,GRI,DFW,1303,,,1.00,B,,561.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N623AE,3652,DFW,GRI,2130,,,1.00,B,,561.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N623AE,3742,DFW,GRI,1035,1034,0.00,0.00,,,561.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N942LL,3907,GRI,DFW,0700,0659,0.00,0.00,,89.00,561.00,
2021,1,2,2/1/2021 12:00:00 AM,OH,N547NN,5648,CLT,OMA,1829,1821,0.00,0.00,,145.00,913.00,
2021,1,2,2/1/2021 12:00:00 AM,OH,N564NN,5629,OMA,CLT,0625,0619,0.00,0.00,,133.00,913.00,
2021,1,2,2/1/2021 12:00:00 AM,OH,N602NN,5023,OMA,CLT,1527,1537,10.00,0.00,,128.00,913.00,
2021,1,2,2/1/2021 12:00:00 AM,OH,N602NN,5138,CLT,OMA,1302,1302,0.00,0.00,,139.00,913.00,
2021,1,2,2/1/2021 12:00:00 AM,OO,N113SY,5338,OMA,DEN,0932,0928,0.00,0.00,,75.00,472.00,
